time,u1,power,freq
1767806632944,234,4135,49.93
1767806637932,232,4135,50.05
1767806642218,234,4130,50.02
1767806647986,234,4129,49.98
1767806652597,232,4129,49.96
1767806657628,233,4129,50.05
1767806662434,234,4127,50.06
1767806668013,232,4125,49.99
1767806672975,233,4123,49.96
1767806677809,232,4122,49.99
1767806682717,234,4119,50.07
1767806687886,234,4115,49.98
1767806692549,232,4112,49.97
1767806697568,232,4116,50.05
1767806703090,233,4117,50.07
1767806708291,233,4118,50.02
1767806713457,234,4120,49.98
1767806719332,233,4121,49.96
1767806722967,232,4122,49.94
1767806728132,233,4123,50.04
1767806732855,232,4123,49.97
1767806737745,232,4128,50
1767806742900,232,4129,50.04
